unit_id,received_dttm,predicted_response_time_seconds,actual_response_time_seconds,call_type,call_type_group,original_priority,unit_type,station_area,battalion,neighborhood_district,zipcode_of_incident,on_scene_dttm,raw_predict_payload,normalized_predict_payload,raw_actual_payload,normalized_actual_payload
A155,2026-03-20T14:30:23,818.63666,,Medical,Alarm,T,MEDIC,Central,B09,Downtown,94124,,"{""call_type"": ""Medical"", ""call_type_group"": ""ALArm"", ""original_priority"": ""T"", ""unit_id"": ""A155"", ""unit_type"": ""amb"", ""station_area"": ""Central"", ""battalion"": ""Bat 9"", ""neighborhood_district"": ""Downtown"", ""zipcode_of_incident"": ""94124"", ""received_dttm"": ""2026-03-20T14:30:23""}","{""call_type"": ""Medical"", ""call_type_group"": ""Alarm"", ""original_priority"": ""T"", ""unit_id"": ""A155"", ""unit_type"": ""MEDIC"", ""station_area"": ""Central"", ""battalion"": ""B09"", ""neighborhood_district"": ""Downtown"", ""zipcode_of_incident"": ""94124"", ""received_dttm"": ""2026-03-20T14:30:23""}",,
A155,2026-03-20T14:30:24,818.63666,,Medical,Alarm,T,MEDIC,Central,B09,Downtown,94124,,"{""call_type"": ""Medical"", ""call_type_group"": ""ALArm"", ""original_priority"": ""T"", ""unit_id"": ""A155"", ""unit_type"": ""amb"", ""station_area"": ""Central"", ""battalion"": ""Bat 9"", ""neighborhood_district"": ""Downtown"", ""zipcode_of_incident"": ""94124"", ""received_dttm"": ""2026-03-20T14:30:24""}","{""call_type"": ""Medical"", ""call_type_group"": ""Alarm"", ""original_priority"": ""T"", ""unit_id"": ""A155"", ""unit_type"": ""MEDIC"", ""station_area"": ""Central"", ""battalion"": ""B09"", ""neighborhood_district"": ""Downtown"", ""zipcode_of_incident"": ""94124"", ""received_dttm"": ""2026-03-20T14:30:24""}",,
M563,2026-01-11T14:42:34.000,445.42343,817,Medical Incident,Potentially Life-Threatening,3,MEDIC,9,B10,Bernal Heights,94110,2026-01-11T14:56:11.000,"{""unit_id"": ""M563"", ""call_type"": ""Medical Incident"", ""received_dttm"": ""2026-01-11T14:42:34.000"", ""zipcode_of_incident"": ""94110"", ""battalion"": ""B10"", ""station_area"": ""9"", ""original_priority"": ""3"", ""call_type_group"": ""Potentially Life-Threatening"", ""unit_type"": ""MEDIC"", ""neighborhood_district"": ""Bernal Heights""}","{""unit_id"": ""M563"", ""call_type"": ""Medical Incident"", ""received_dttm"": ""2026-01-11T14:42:34.000"", ""zipcode_of_incident"": ""94110"", ""battalion"": ""B10"", ""station_area"": ""9"", ""original_priority"": ""3"", ""call_type_group"": ""Potentially Life-Threatening"", ""unit_type"": ""MEDIC"", ""neighborhood_district"": ""Bernal Heights""}","{""unit_id"": ""M563"", ""received_dttm"": ""2026-01-11T14:42:34.000"", ""on_scene_dttm"": ""2026-01-11T14:56:11.000""}","{""unit_id"": ""M563"", ""received_dttm"": ""2026-01-11T14:42:34.000"", ""on_scene_dttm"": ""2026-01-11T14:56:11.000""}"
A155,2026-03-20T14:30:27,465.4414,,Medical,Alarm,I,MEDIC,Central,B09,Downtown,94124,,"{""call_type"": ""Medical"", ""call_type_group"": ""ALArm"", ""original_priority"": ""I"", ""unit_id"": ""A155"", ""unit_type"": ""amb"", ""station_area"": ""Central"", ""battalion"": ""Bat 9"", ""neighborhood_district"": ""Downtown"", ""zipcode_of_incident"": ""94124"", ""received_dttm"": ""2026-03-20T14:30:27""}","{""call_type"": ""Medical"", ""call_type_group"": ""Alarm"", ""original_priority"": ""I"", ""unit_id"": ""A155"", ""unit_type"": ""MEDIC"", ""station_area"": ""Central"", ""battalion"": ""B09"", ""neighborhood_district"": ""Downtown"", ""zipcode_of_incident"": ""94124"", ""received_dttm"": ""2026-03-20T14:30:27""}",,
T08,2026-01-01T19:57:19.000,802.96814,566,Citizen Assist / Service Call,Alarm,2,TRUCK,8,B03,Financial District/South Beach,94107,2026-01-01T20:06:45.000,"{""call_type"": ""Citizen Assist / Service Call"", ""call_type_group"": ""Alarm"", ""original_priority"": ""2"", ""unit_id"": ""T08"", ""unit_type"": ""TRUCK"", ""station_area"": ""8"", ""battalion"": ""B03"", ""neighborhood_district"": ""Financial District/South Beach"", ""zipcode_of_incident"": ""94107"", ""received_dttm"": ""2026-01-01T19:57:19.000""}","{""call_type"": ""Citizen Assist / Service Call"", ""call_type_group"": ""Alarm"", ""original_priority"": ""2"", ""unit_id"": ""T08"", ""unit_type"": ""TRUCK"", ""station_area"": ""8"", ""battalion"": ""B03"", ""neighborhood_district"": ""Financial District/South Beach"", ""zipcode_of_incident"": ""94107"", ""received_dttm"": ""2026-01-01T19:57:19.000""}","{""unit_id"": ""T08"", ""received_dttm"": ""2026-01-01T19:57:19.000"", ""on_scene_dttm"": ""2026-01-01T20:06:45.000""}","{""unit_id"": ""T08"", ""received_dttm"": ""2026-01-01T19:57:19.000"", ""on_scene_dttm"": ""2026-01-01T20:06:45.000""}"
E07,2026-01-01T14:04:56.000,460.45428,433,Alarms,Alarm,3,ENGINE,11,B06,Mission,94110,2026-01-01T14:12:09.000,"{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""E07"", ""unit_type"": ""ENGINE"", ""station_area"": ""11"", ""battalion"": ""B06"", ""neighborhood_district"": ""Mission"", ""zipcode_of_incident"": ""94110"", ""received_dttm"": ""2026-01-01T14:04:56.000""}","{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""E07"", ""unit_type"": ""ENGINE"", ""station_area"": ""11"", ""battalion"": ""B06"", ""neighborhood_district"": ""Mission"", ""zipcode_of_incident"": ""94110"", ""received_dttm"": ""2026-01-01T14:04:56.000""}","{""unit_id"": ""E07"", ""received_dttm"": ""2026-01-01T14:04:56.000"", ""on_scene_dttm"": ""2026-01-01T14:12:09.000""}","{""unit_id"": ""E07"", ""received_dttm"": ""2026-01-01T14:04:56.000"", ""on_scene_dttm"": ""2026-01-01T14:12:09.000""}"
M577,2026-01-01T03:24:09.000,689.87244,766,Medical Incident,Non Life-threatening,A,MEDIC,36,B02,South of Market,94103,2026-01-01T03:36:55.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""A"", ""unit_id"": ""M577"", ""unit_type"": ""MEDIC"", ""station_area"": ""36"", ""battalion"": ""B02"", ""neighborhood_district"": ""South of Market"", ""zipcode_of_incident"": ""94103"", ""received_dttm"": ""2026-01-01T03:24:09.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Non Life-threatening"", ""original_priority"": ""A"", ""unit_id"": ""M577"", ""unit_type"": ""MEDIC"", ""station_area"": ""36"", ""battalion"": ""B02"", ""neighborhood_district"": ""South of Market"", ""zipcode_of_incident"": ""94103"", ""received_dttm"": ""2026-01-01T03:24:09.000""}","{""unit_id"": ""M577"", ""received_dttm"": ""2026-01-01T03:24:09.000"", ""on_scene_dttm"": ""2026-01-01T03:36:55.000""}","{""unit_id"": ""M577"", ""received_dttm"": ""2026-01-01T03:24:09.000"", ""on_scene_dttm"": ""2026-01-01T03:36:55.000""}"
M560,2026-01-01T19:50:04.000,449.77713,402,Medical Incident,Potentially Life-Threatening,3,MEDIC,14,B07,Golden Gate Park,94121,2026-01-01T19:56:46.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""M560"", ""unit_type"": ""MEDIC"", ""station_area"": ""14"", ""battalion"": ""B07"", ""neighborhood_district"": ""Golden Gate Park"", ""zipcode_of_incident"": ""94121"", ""received_dttm"": ""2026-01-01T19:50:04.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""M560"", ""unit_type"": ""MEDIC"", ""station_area"": ""14"", ""battalion"": ""B07"", ""neighborhood_district"": ""Golden Gate Park"", ""zipcode_of_incident"": ""94121"", ""received_dttm"": ""2026-01-01T19:50:04.000""}","{""unit_id"": ""M560"", ""received_dttm"": ""2026-01-01T19:50:04.000"", ""on_scene_dttm"": ""2026-01-01T19:56:46.000""}","{""unit_id"": ""M560"", ""received_dttm"": ""2026-01-01T19:50:04.000"", ""on_scene_dttm"": ""2026-01-01T19:56:46.000""}"
M573,2026-01-01T00:23:29.000,395.94363,346,Medical Incident,Potentially Life-Threatening,3,MEDIC,3,B02,Tenderloin,94102,2026-01-01T00:29:15.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""M573"", ""unit_type"": ""MEDIC"", ""station_area"": ""3"", ""battalion"": ""B02"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T00:23:29.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""M573"", ""unit_type"": ""MEDIC"", ""station_area"": ""3"", ""battalion"": ""B02"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T00:23:29.000""}","{""unit_id"": ""M573"", ""received_dttm"": ""2026-01-01T00:23:29.000"", ""on_scene_dttm"": ""2026-01-01T00:29:15.000""}","{""unit_id"": ""M573"", ""received_dttm"": ""2026-01-01T00:23:29.000"", ""on_scene_dttm"": ""2026-01-01T00:29:15.000""}"
E03,2026-01-01T00:33:59.000,465.21417,272,Alarms,Alarm,3,ENGINE,3,B03,Tenderloin,94102,2026-01-01T00:38:31.000,"{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""E03"", ""unit_type"": ""ENGINE"", ""station_area"": ""3"", ""battalion"": ""B03"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T00:33:59.000""}","{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""E03"", ""unit_type"": ""ENGINE"", ""station_area"": ""3"", ""battalion"": ""B03"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T00:33:59.000""}","{""unit_id"": ""E03"", ""received_dttm"": ""2026-01-01T00:33:59.000"", ""on_scene_dttm"": ""2026-01-01T00:38:31.000""}","{""unit_id"": ""E03"", ""received_dttm"": ""2026-01-01T00:33:59.000"", ""on_scene_dttm"": ""2026-01-01T00:38:31.000""}"
AM106,2026-01-01T12:21:26.000,426.90405,233,Medical Incident,Potentially Life-Threatening,3,PRIVATE,12,B05,Haight Ashbury,94117,2026-01-01T12:25:19.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""AM106"", ""unit_type"": ""PRIVATE"", ""station_area"": ""12"", ""battalion"": ""B05"", ""neighborhood_district"": ""Haight Ashbury"", ""zipcode_of_incident"": ""94117"", ""received_dttm"": ""2026-01-01T12:21:26.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""3"", ""unit_id"": ""AM106"", ""unit_type"": ""PRIVATE"", ""station_area"": ""12"", ""battalion"": ""B05"", ""neighborhood_district"": ""Haight Ashbury"", ""zipcode_of_incident"": ""94117"", ""received_dttm"": ""2026-01-01T12:21:26.000""}","{""unit_id"": ""AM106"", ""received_dttm"": ""2026-01-01T12:21:26.000"", ""on_scene_dttm"": ""2026-01-01T12:25:19.000""}","{""unit_id"": ""AM106"", ""received_dttm"": ""2026-01-01T12:21:26.000"", ""on_scene_dttm"": ""2026-01-01T12:25:19.000""}"
M510,2026-01-01T23:58:34.000,320.78812,263,Medical Incident,Potentially Life-Threatening,E,MEDIC,1,B03,Tenderloin,94102,2026-01-02T00:02:57.000,"{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""E"", ""unit_id"": ""M510"", ""unit_type"": ""MEDIC"", ""station_area"": ""1"", ""battalion"": ""B03"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T23:58:34.000""}","{""call_type"": ""Medical Incident"", ""call_type_group"": ""Potentially Life-Threatening"", ""original_priority"": ""E"", ""unit_id"": ""M510"", ""unit_type"": ""MEDIC"", ""station_area"": ""1"", ""battalion"": ""B03"", ""neighborhood_district"": ""Tenderloin"", ""zipcode_of_incident"": ""94102"", ""received_dttm"": ""2026-01-01T23:58:34.000""}","{""unit_id"": ""M510"", ""received_dttm"": ""2026-01-01T23:58:34.000"", ""on_scene_dttm"": ""2026-01-02T00:02:57.000""}","{""unit_id"": ""M510"", ""received_dttm"": ""2026-01-01T23:58:34.000"", ""on_scene_dttm"": ""2026-01-02T00:02:57.000""}"
T03,2026-01-01T22:25:50.000,459.05612,282,Alarms,Alarm,3,TRUCK,41,B04,Nob Hill,94109,2026-01-01T22:30:32.000,"{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""T03"", ""unit_type"": ""TRUCK"", ""station_area"": ""41"", ""battalion"": ""B04"", ""neighborhood_district"": ""Nob Hill"", ""zipcode_of_incident"": ""94109"", ""received_dttm"": ""2026-01-01T22:25:50.000""}","{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""T03"", ""unit_type"": ""TRUCK"", ""station_area"": ""41"", ""battalion"": ""B04"", ""neighborhood_district"": ""Nob Hill"", ""zipcode_of_incident"": ""94109"", ""received_dttm"": ""2026-01-01T22:25:50.000""}","{""unit_id"": ""T03"", ""received_dttm"": ""2026-01-01T22:25:50.000"", ""on_scene_dttm"": ""2026-01-01T22:30:32.000""}","{""unit_id"": ""T03"", ""received_dttm"": ""2026-01-01T22:25:50.000"", ""on_scene_dttm"": ""2026-01-01T22:30:32.000""}"
B07,2026-01-01T13:44:40.000,544.8212,452,Alarms,Alarm,3,CHIEF,31,B07,Lone Mountain/USF,94118,2026-01-01T13:52:12.000,"{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""B07"", ""unit_type"": ""CHIEF"", ""station_area"": ""31"", ""battalion"": ""B07"", ""neighborhood_district"": ""Lone Mountain/USF"", ""zipcode_of_incident"": ""94118"", ""received_dttm"": ""2026-01-01T13:44:40.000""}","{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""B07"", ""unit_type"": ""CHIEF"", ""station_area"": ""31"", ""battalion"": ""B07"", ""neighborhood_district"": ""Lone Mountain/USF"", ""zipcode_of_incident"": ""94118"", ""received_dttm"": ""2026-01-01T13:44:40.000""}","{""unit_id"": ""B07"", ""received_dttm"": ""2026-01-01T13:44:40.000"", ""on_scene_dttm"": ""2026-01-01T13:52:12.000""}","{""unit_id"": ""B07"", ""received_dttm"": ""2026-01-01T13:44:40.000"", ""on_scene_dttm"": ""2026-01-01T13:52:12.000""}"
B01,2026-01-01T09:20:46.000,525.0898,575,Alarms,Alarm,3,CHIEF,2,B01,Nob Hill,94133,2026-01-01T09:30:21.000,"{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""B01"", ""unit_type"": ""CHIEF"", ""station_area"": ""2"", ""battalion"": ""B01"", ""neighborhood_district"": ""Nob Hill"", ""zipcode_of_incident"": ""94133"", ""received_dttm"": ""2026-01-01T09:20:46.000""}","{""call_type"": ""Alarms"", ""call_type_group"": ""Alarm"", ""original_priority"": ""3"", ""unit_id"": ""B01"", ""unit_type"": ""CHIEF"", ""station_area"": ""2"", ""battalion"": ""B01"", ""neighborhood_district"": ""Nob Hill"", ""zipcode_of_incident"": ""94133"", ""received_dttm"": ""2026-01-01T09:20:46.000""}","{""unit_id"": ""B01"", ""received_dttm"": ""2026-01-01T09:20:46.000"", ""on_scene_dttm"": ""2026-01-01T09:30:21.000""}","{""unit_id"": ""B01"", ""received_dttm"": ""2026-01-01T09:20:46.000"", ""on_scene_dttm"": ""2026-01-01T09:30:21.000""}"
